Year,ANSI,Value
2019,01001,165.6
2019,01047,133.3
2019,01051,104.3
2019,01105,110.2
2019,01003,150.9
2019,01035,109.0
2019,01099,124.1
2019,01015,137.2
2019,01019,129.4
2019,01043,175.4
2019,01049,130.9
2019,01055,151.7
2019,01071,123.3
2019,01095,149.7
2019,01033,162.0
2019,01077,172.7
2019,01079,171.8
2019,01083,160.7
2019,01089,179.9
2019,01103,140.0
2019,01057,100.0
2019,01111,80.0
2019,01125,161.7
2019,01127,111.4
2019,01005,184.1
2019,01039,96.3
2019,01045,107.5
2019,01067,144.7
2019,01069,137.9
2019,05001,192.8
2019,05035,165.1
2019,05085,178.6
2019,05095,169.6
2019,05107,160.3
2019,05117,173.1
2019,05123,172.8
2019,05147,162.1
2019,05021,178.0
2019,05031,191.7
2019,05055,182.1
2019,05063,159.9
2019,05067,178.3
2019,05075,180.0
2019,05093,137.6
2019,05111,186.3
2019,05121,186.3
2019,05145,177.1
2019,05003,165.7
2019,05017,176.1
2019,05041,181.7
2019,05043,186.8
2019,05069,181.0
2019,05079,188.2
2019,05073,148.4
2019,06021,153.1
2019,06067,150.0
2019,06101,147.1
2019,06113,194.8
2019,08001,54.8
2019,08017,91.4
2019,08063,100.5
2019,08095,133.6
2019,08121,70.6
2019,08125,174.8
2019,08013,125.8
2019,08069,148.5
2019,08115,144.3
2019,08123,177.1
2019,08011,182.7
2019,08099,166.7
2019,08101,199.6
2019,10001,154.4
2019,10003,163.6
2019,10005,164.0
2019,13023,177.0
2019,13091,152.5
2019,13167,92.4
2019,13031,122.1
2019,13033,199.0
2019,13043,82.4
2019,13107,146.7
2019,13163,183.0
2019,13165,240.0
2019,13251,157.3
2019,13139,114.1
2019,13011,102.0
2019,13119,157.1
2019,13137,116.2
2019,13015,185.0
2019,13055,122.9
2019,13115,153.5
2019,13129,108.1
2019,13313,103.0
2019,13003,160.9
2019,13027,146.3
2019,13069,149.2
2019,13071,164.7
2019,13075,135.6
2019,13155,173.1
2019,13287,199.5
2019,13321,196.1
2019,13001,119.1
2019,13005,96.6
2019,13229,119.6
2019,13299,110.9
2019,13007,191.0
2019,13037,228.1
2019,13099,202.0
2019,13201,205.3
2019,13243,213.0
2019,13253,213.0
2019,13273,151.1
2019,13275,101.2
2019,13307,67.9
2019,13193,195.8
2019,13249,80.7
2019,13269,90.0
2019,16041,140.5
2019,16047,210.0
2019,16063,171.8
2019,16001,224.4
2019,16027,210.1
2019,16039,202.9
2019,16045,219.0
2019,16073,225.0
2019,16075,227.3
2019,17107,194.2
2019,17115,204.4
2019,17123,184.9
2019,17125,169.0
2019,17113,198.8
2019,17143,193.4
2019,17175,202.9
2019,17179,205.6
2019,17203,183.6
2019,17019,180.8
2019,17053,168.6
2019,17075,152.6
2019,17105,178.8
2019,17147,199.7
2019,17025,140.5
2019,17029,184.0
2019,17033,146.3
2019,17035,161.6
2019,17041,193.6
2019,17049,173.9
2019,17051,166.2
2019,17079,174.0
2019,17101,155.2
2019,17121,153.1
2019,17139,189.4
2019,17173,174.9
2019,17007,179.0
2019,17031,174.0
2019,17037,188.8
2019,17063,164.0
2019,17089,175.8
2019,17093,192.2
2019,17099,175.8
2019,17097,129.0
2019,17011,179.9
2019,17015,206.1
2019,17073,187.0
2019,17085,188.9
