Year,ANSI,Value
2019,01047,26.1
2019,01119,38.0
2019,01053,22.3
2019,01009,35.3
2019,01019,30.1
2019,01043,42.8
2019,01049,30.6
2019,01055,30.4
2019,01071,29.1
2019,01095,31.0
2019,01033,38.7
2019,01059,37.7
2019,01077,38.6
2019,01079,39.3
2019,01083,40.5
2019,01089,39.5
2019,01103,39.5
2019,01057,24.9
2019,01125,31.8
2019,01127,32.4
2019,01069,46.2
2019,01109,51.6
2019,05001,58.0
2019,05035,46.1
2019,05037,52.0
2019,05085,48.2
2019,05095,47.7
2019,05117,44.0
2019,05123,50.3
2019,05147,43.8
2019,05021,48.0
2019,05031,46.3
2019,05055,45.8
2019,05063,40.9
2019,05067,40.3
2019,05075,39.9
2019,05093,47.6
2019,05111,51.0
2019,05121,42.5
2019,05145,43.0
2019,05003,50.6
2019,05017,54.1
2019,05041,59.8
2019,05043,57.5
2019,05069,54.3
2019,05079,57.2
2019,05081,30.2
2019,10001,49.5
2019,10003,47.2
2019,10005,44.8
2019,13107,23.7
2019,13163,34.1
2019,13105,24.8
2019,13147,23.3
2019,13015,12.6
2019,13055,40.4
2019,13027,36.0
2019,13069,25.2
2019,13193,28.4
2019,17115,63.8
2019,17123,53.8
2019,17125,55.4
2019,17113,61.0
2019,17129,62.0
2019,17143,55.4
2019,17175,58.8
2019,17179,63.8
2019,17203,61.4
2019,17019,52.8
2019,17053,52.6
2019,17075,45.3
2019,17091,52.3
2019,17105,56.9
2019,17025,40.5
2019,17029,63.7
2019,17033,49.5
2019,17035,50.6
2019,17041,62.4
2019,17045,59.5
2019,17049,51.5
2019,17051,48.9
2019,17079,53.9
2019,17101,47.8
2019,17121,46.5
2019,17139,59.3
2019,17173,56.2
2019,17007,50.0
2019,17037,55.6
2019,17063,49.0
2019,17089,50.3
2019,17093,57.4
2019,17099,55.4
2019,17097,48.2
2019,17197,47.8
2019,17011,57.4
2019,17015,64.7
2019,17073,52.6
2019,17085,55.6
2019,17103,59.7
2019,17131,51.9
2019,17141,59.9
2019,17177,56.4
2019,17201,55.8
2019,17055,38.9
2019,17059,47.5
2019,17069,44.8
2019,17081,37.4
2019,17127,43.5
2019,17191,43.4
2019,17193,46.6
2019,17027,51.9
2019,17077,39.6
2019,17133,47.2
2019,17145,35.6
2019,17153,43.2
2019,17157,41.6
2019,17163,53.2
2019,17181,34.0
2019,17189,43.9
2019,17001,49.8
2019,17009,56.2
2019,17057,53.9
2019,17095,55.9
2019,17109,60.2
2019,17187,58.5
2019,17005,51.7
2019,17013,46.9
2019,17061,60.7
2019,17083,60.1
2019,17117,58.3
2019,17119,56.6
2019,17135,61.5
2019,17137,64.1
2019,17167,65.5
2019,18011,52.4
2019,18031,53.9
2019,18057,48.8
2019,18059,42.3
2019,18063,53.1
2019,18067,55.4
2019,18081,53.6
2019,18095,47.6
2019,18097,47.6
2019,18139,56.9
2019,18145,51.8
2019,18159,56.4
2019,18009,53.8
2019,18035,48.8
2019,18041,51.5
2019,18065,45.8
2019,18075,49.3
2019,18135,50.9
2019,18161,51.0
2019,18177,50.1
2019,18015,58.7
2019,18039,48.3
2019,18049,51.4
2019,18085,49.0
2019,18103,49.1
2019,18141,47.3
2019,18169,53.1
2019,18001,50.8
2019,18003,52.3
2019,18033,52.4
2019,18069,54.3
2019,18087,47.5
2019,18113,54.3
2019,18183,53.2
2019,18007,54.5
2019,18091,50.1
2019,18089,48.3
2019,18111,52.0
2019,18127,52.1
2019,18131,44.3
2019,18181,52.8
2019,18025,46.3
2019,18043,37.1
2019,18061,43.6
2019,18117,56.6
2019,18123,47.2
2019,18175,44.1
2019,18019,40.6
2019,18029,30.9
2019,18047,41.6
2019,18077,32.1
2019,18079,45.7
2019,18115,30.8
2019,18137,42.2
2019,18027,53.5
2019,18037,51.4
2019,18051,55.0
2019,18101,43.8
2019,18125,51.8
2019,18129,56.3
2019,18147,53.3
2019,18153,50.4
2019,18163,60.9
2019,18173,53.6
2019,18021,48.4
2019,18107,58.5
2019,18121,52.3
2019,18133,58.8
2019,18157,54.7
2019,18165,51.4
2019,18167,49.3
2019,18171,60.7
2019,19015,53.2
2019,19049,54.4
2019,19075,56.3
2019,19079,51.4
2019,19083,53.9
2019,19099,56.5
2019,19127,60.6
2019,19153,51.0
2019,19157,53.4
2019,19169,50.0
