Year,ANSI,Value
2019,05021,58.2
2019,06011,52.1
2019,06095,46.5
2019,06101,47.6
2019,06113,46.6
2019,06019,106.7
2019,06019,52.1
2019,06031,55.8
2019,06047,59.0
2019,06077,107.6
2019,06077,59.8
2019,06107,37.2
2019,08001,44.1
2019,08005,38.5
2019,08017,45.5
2019,08039,44.4
2019,08061,47.9
2019,08063,58.2
2019,08073,51.0
2019,08069,54.4
2019,08075,44.4
2019,08099,66.2
2019,08077,127.2
2019,16011,116.1
2019,16019,74.8
2019,16029,64.2
2019,16077,79.8
2019,16009,73.1
2019,16021,82.8
2019,16049,75.8
2019,16057,80.0
2019,16061,69.2
2019,16069,72.0
2019,16031,89.7
2019,16053,140.4
2019,16083,140.6
2019,16027,129.9
2019,16039,117.5
2019,16073,133.3
2019,16075,123.1
2019,16087,110.7
2019,17115,59.4
2019,17125,64.3
2019,17113,76.4
2019,17129,81.7
2019,17143,58.8
2019,17179,67.1
2019,17203,63.4
2019,17019,74.0
2019,17105,75.6
2019,17147,59.4
2019,17023,73.8
2019,17025,71.4
2019,17033,62.5
2019,17045,71.4
2019,17049,70.4
2019,17051,63.5
2019,17101,69.7
2019,17121,59.4
2019,17139,70.7
2019,17159,63.7
2019,17173,64.7
2019,17037,56.6
2019,17089,56.9
2019,17093,77.6
2019,17097,46.7
2019,17011,61.4
2019,17015,76.0
2019,17073,62.1
2019,17085,58.4
2019,17103,61.5
2019,17141,81.8
2019,17177,86.2
2019,17201,76.6
2019,17047,62.5
2019,17055,65.5
2019,17059,81.6
2019,17065,68.5
2019,17081,57.7
2019,17127,56.5
2019,17003,54.2
2019,17027,65.0
2019,17133,64.7
2019,17153,62.3
2019,17157,76.1
2019,17163,69.3
2019,17181,69.0
2019,17189,69.4
2019,17067,46.9
2019,17095,71.4
2019,17169,65.4
2019,17013,56.9
2019,17017,53.7
2019,17021,71.1
2019,17061,75.0
2019,17083,72.2
2019,17119,74.1
2019,17149,81.6
2019,18005,75.3
2019,18023,43.1
2019,18031,74.4
2019,18059,66.0
2019,18081,68.8
2019,18095,41.3
2019,18109,70.0
2019,18139,67.0
2019,18145,63.0
2019,18159,68.3
2019,18009,45.0
2019,18041,64.4
2019,18065,67.2
2019,18075,45.8
2019,18135,60.2
2019,18177,60.8
2019,18015,69.3
2019,18017,71.1
2019,18049,60.6
2019,18085,70.0
2019,18141,55.2
2019,18169,47.0
2019,18001,46.3
2019,18003,55.9
2019,18033,64.4
2019,18113,64.0
2019,18151,63.1
2019,18179,64.1
2019,18183,62.1
2019,18091,70.0
2019,18089,81.8
2019,18111,62.9
2019,18127,65.3
2019,18061,48.3
2019,18071,70.2
2019,18123,48.3
2019,18019,61.4
2019,18029,62.0
2019,18047,59.5
2019,18077,62.0
2019,18137,58.1
2019,18027,52.4
2019,18037,68.3
2019,18051,67.4
2019,18055,70.0
2019,18083,63.1
2019,18125,52.1
2019,18129,67.7
2019,18163,63.9
2019,18173,64.3
2019,18107,69.0
2019,18133,55.0
2019,18157,63.8
2019,20009,45.8
2019,20051,46.6
2019,20053,48.7
2019,20115,45.6
2019,20113,46.2
2019,20167,52.0
2019,20169,44.4
2019,20003,37.7
2019,20017,41.0
2019,20031,36.6
2019,20045,37.8
2019,20059,42.2
2019,20061,45.1
2019,20091,51.6
2019,20107,42.7
2019,20111,38.6
2019,20121,49.1
2019,20127,39.6
2019,20139,43.8
2019,20177,38.6
2019,20197,47.4
2019,20123,54.8
2019,20143,46.7
2019,20157,46.0
2019,20163,49.3
2019,20005,37.0
2019,20013,48.1
2019,20085,44.8
2019,20103,46.4
2019,20131,55.5
2019,20149,44.8
2019,20023,61.0
2019,20039,60.0
2019,20153,64.9
2019,20181,61.7
2019,20033,44.4
2019,20047,47.1
2019,20079,36.1
2019,20097,53.2
2019,20145,44.7
2019,20155,37.5
2019,20173,40.4
2019,20191,35.4
2019,20001,44.5
2019,20015,45.1
2019,20021,54.6
2019,20035,35.0
2019,20037,43.3
2019,20073,48.5
2019,20099,33.6
2019,20125,37.5
2019,20133,33.1
2019,20025,57.3
2019,20067,50.3
2019,20069,55.1
2019,20075,67.4
2019,20129,46.6
2019,20175,59.5
2019,20189,54.9
2019,20063,59.2
2019,20071,66.5
2019,20101,64.9
2019,20135,50.2
2019,20203,69.8
2019,21067,63.9
2019,21137,59.0
2019,21209,66.3
2019,21211,56.1
2019,21239,58.0
2019,21003,58.9
2019,21009,53.3
2019,21027,66.8
2019,21093,73.8
2019,21155,72.8
2019,21171,61.0
2019,21207,58.0
2019,21227,79.5
2019,21033,79.6
2019,21047,83.4
2019,21059,67.6
2019,21101,65.5
2019,21141,77.5
2019,21149,68.8
2019,21213,76.2
2019,21219,79.7
2019,21225,85.0
2019,21103,46.9
2019,21007,69.7
2019,21035,66.0
2019,21039,74.8
2019,21075,69.7
2019,21083,71.5
2019,21105,66.9
2019,21145,63.7
2019,21221,78.4
2019,24039,71.1
2019,24021,75.3
2019,24043,84.1
2019,24011,69.8
2019,24015,81.3
2019,24041,78.8
2019,26035,56.7
2019,26051,34.6
2019,26057,70.8
